Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00332460565658627,1.58676196071461E-08,0.041560079075296,0,0,0,42.8861348655346,1.00588271538571,-1.46408273025479E-07,-0.0167901751526591,1.73667960585585,5.80765070709865E-08,2.43688572871735,0,0,0,0,0,0,package://simple_car_1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_car_1/meshes/base_link.STL,,chassis-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
S_R,0.0683552158020454,0.00119688729774237,-2.83106871279415E-15,0,0,0,0.225860858102532,6.78977829710827E-05,-4.82166445850817E-06,-3.09292498343065E-19,0.000343182570643455,-5.50199363756215E-21,0.000348044864929136,0,0,0,0,0,0,package://simple_car_1/meshes/S_R.STL,0,0,1,1,0,0,0,0,0,0,package://simple_car_1/meshes/S_R.STL,,coulping_front tyre-1,Coordinate System2,Axis_SR_Joint,SR_Joint,revolute,0.254000000000007,-0.254,-0.0762000000000029,0,0,-1.59384943873931,base_link,0,0,1,1000,1000,-1,1,,,,,,,,
Wheel_FR,-0.0011093843075205,0.00109160341947936,0.0380458860342316,0,0,0,2.31666659443376,0.00747391772869096,-8.01571740731554E-07,-6.52698636700994E-05,0.00747389182470713,6.42237373359677E-05,0.0127026719178023,0,0,0,0,0,0,package://simple_car_1/meshes/Wheel_FR.STL,0,0,0,1,0,0,0,0,0,0,package://simple_car_1/meshes/Wheel_FR.STL,,rear_tyre-2,Origin_WFR,Axis_WFR,WFR,continuous,0.0508404890096035,0,0,-1.5707963267949,0.777319744318453,-1.5707963267949,S_R,0,0,1,,,,,,,,,,,,
S_L,0.0683656830546928,-3.80399174700896E-05,0,0,0,0,0.225860858102532,6.78134417911135E-05,1.53267400130195E-07,4.13476612842137E-22,0.000343266911823424,-4.31100267529608E-23,0.000348044864929136,0,0,0,0,0,0,package://simple_car_1/meshes/S_L.STL,0,0,1,1,0,0,0,0,0,0,package://simple_car_1/meshes/S_L.STL,,coulping_front tyre-2,Coordinate System3,Axis_SL_Joint,SL_Joint,revolute,0.25399999999996,0.253999999999836,-0.0762,0,0,1.57346784124955,base_link,0,0,1,1000,1000,-1,1,,,,,,,,
Wheel_FL,-2.20509283793691E-06,4.94164054692936E-05,-0.0386664950496765,0,0,0,2.31666659443376,0.00747310310354289,-7.21262781980466E-11,1.29754988760008E-07,0.0074731047166833,-2.90782547822008E-06,0.0127042736509742,0,0,0,0,0,0,package://simple_car_1/meshes/Wheel_FL.STL,0,0,0,1,0,0,0,0,0,0,package://simple_car_1/meshes/Wheel_FL.STL,,rear_tyre-4,Origin_WFL,Axis_WFL,WFL,continuous,0.0502334911887114,0,0,-1.57079632679487,1.52620322090237,1.57079632679492,S_L,0,0,1,,,,,,,,,,,,
Wheel_BR,0,0,0.0381000000000001,0,0,0,2.31666659443376,0.00747310310032443,-4.33680868994202E-19,1.52641837812297E-19,0.00747310310032443,-3.17947464336863E-20,0.0127042752705515,0,0,0,0,0,0,package://simple_car_1/meshes/Wheel_BR.STL,0,0,0,1,0,0,0,0,0,0,package://simple_car_1/meshes/Wheel_BR.STL,,rear_tyre-1,Origin_WBR,Axis_WBR,WBR,continuous,-0.254,-0.3048,-0.0762000000000036,1.5707963267949,-1.28782237474481,0,base_link,0,0,1,,,,,,,,,,,,
Wheel_BL,-1.11022302462516E-16,2.77555756156289E-17,0.0381,0,0,0,2.31666659443376,0.00747310310032442,2.71050543121376E-20,2.75908916846999E-19,0.00747310310032442,-2.95060764470901E-21,0.0127042752705515,0,0,0,0,0,0,package://simple_car_1/meshes/Wheel_BL.STL,0,0,0,1,0,0,0,0,0,0,package://simple_car_1/meshes/Wheel_BL.STL,,rear_tyre-3,Origin_WBL,Axis_WBL,WBL,continuous,-0.254,0.381,-0.0762000000000034,-1.5707963267949,1.51907124574579,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
