Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.421226910973991,-0.430182950446234,0.506652402868975,0,0,0,42.8861348655346,1.00588271538571,-1.46408273029841E-07,-0.0167901751526594,1.73667960585585,5.80765073155769E-08,2.43688572871735,0,0,0,0,0,0,package://My_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://My_urdf/meshes/base_link.STL,,chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_right_coupling,1.11022302462516E-16,0.0254,0.0683656936375808,0,0,0,0.225860858102532,0.000343266997104211,-1.83420705937824E-22,-7.50378547038704E-19,0.000348044864929135,1.10048511307746E-21,6.78133565103266E-05,0,0,0,0,0,0,package://My_urdf/meshes/Front_right_coupling.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://My_urdf/meshes/Front_right_coupling.STL,,coulping_front tyre-1,Origin_Front_right_coupling_joint,Axis_Front_right_coupling_joint,Front_right_coupling_joint,revolute,0.67855,-0.68418,0.36349,1.5708,0,-0.0014101,base_link,0,1,0,0,0,0,0,,,,,,,,
Frnt_right_tyre,-2.22044604925031E-16,-3.33066907387547E-16,0.0380998484832361,0,0,0,2.31666659443376,0.00747310310032442,6.58762503934168E-20,-1.76902831034061E-17,0.00747310310032441,-1.88642707683005E-17,0.0127042752705515,0,0,0,0,0,0,package://My_urdf/meshes/Frnt_right_tyre.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://My_urdf/meshes/Frnt_right_tyre.STL,,rear_tyre-2,Origin_Frnt_rght_tyre_joint,Axis_Frnt_rght_tyre_joint,Frnt_rght_tyre_joint,revolute,0,0.0254,0.0508,0,0,2.4249,Front_right_coupling,0,0,1,0,0,0,0,,,,,,,,
Front_left_coupling,0,0.0254,0.0683656936375813,0,0,0,0.225860858102532,0.000343266997104211,4.06423880300902E-24,1.16043513773839E-19,0.000348044864929136,1.51452262272646E-21,6.78133565103265E-05,0,0,0,0,0,0,package://My_urdf/meshes/Front_left_coupling.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://My_urdf/meshes/Front_left_coupling.STL,,coulping_front tyre-2,Origin_Front_left_coupling_joint,Axis_Front_left_coupling_joint,Front_left_coupling_joint,revolute,0.67855,-0.17618,0.36349,1.5708,0,3.1112,base_link,0,1,0,0,0,0,0,,,,,,,,
Front_left_tyre,6.66133814775094E-16,-1.11022302462516E-16,-0.0380295264426354,0,0,0,2.31666659443376,0.00747310310032442,-1.9280587461876E-19,9.0801931945661E-19,0.00747310310032442,7.18283939271647E-19,0.0127042752705515,0,0,0,0,0,0,package://My_urdf/meshes/Front_left_tyre.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://My_urdf/meshes/Front_left_tyre.STL,,rear_tyre-4,Origin_Frnt_lft_tyr_joint,Axis_Frnt_lft_tyr_joint,Frnt_lft_tyr_joint,revolute,0,0.0254,0.05087,-3.1416,0,0.28244,Front_left_coupling,0,0,1,0,0,0,0,,,,,,,,
Rear_right_tyre,-1.66533453693773E-16,-5.55111512312578E-17,0.0380999999999999,0,0,0,2.31666659443376,0.00747310310032441,0,5.73907764946154E-20,0.00747310310032441,8.96526149226369E-20,0.0127042752705515,0,0,0,0,0,0,package://My_urdf/meshes/Rear_right_tyre.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://My_urdf/meshes/Rear_right_tyre.STL,,rear_tyre-1,Origin_Rear_right_tyre_joint,Axis_Rear_right_tyre_joint,Rear_right_tyre_joint,revolute,0.17055,-0.73498,0.38889,1.5708,-0.8144,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Rear_left_tyre,4.16333634234434E-17,5.55111512312578E-17,0.0381,0,0,0,2.31666659443376,0.00747310310032442,0,-1.57918395899449E-19,0.00747310310032442,1.0048451175268E-19,0.0127042752705515,0,0,0,0,0,0,package://My_urdf/meshes/Rear_left_tyre.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://My_urdf/meshes/Rear_left_tyre.STL,,rear_tyre-3,Origin_Rear_left_tyre_joint,Axis_Rear_left_tyre_joint,Rear_left_tyre_joint,revolute,0.17055,-0.049183,0.38889,-1.5708,-0.24309,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
